home, homescore, awayscore, away, date, group
Espanyol, 1, 0, Sporting Gijon, "Sunday, December 5, 2010", CornellÃ¡ - El Prat (30,000)
Getafe, 3, 0, Mallorca, "Sunday, December 5, 2010", Coliseum Alfonso PÃ©rez (9,000)
Malaga, 4, 1, Racing Santander, "Sunday, December 5, 2010", La Rosaleda (23,000)
Villarreal, 1, 0, Sevilla FC, "Sunday, December 5, 2010", El Madrigal (21,000)
Real Sociedad, 2, 0, Athletic Bilbao, "Sunday, December 5, 2010", Anoeta (30,000)
Levante, 2, 0, Atletico Madrid, "Saturday, December 4, 2010", Ciutat de Valencia (25,000)
Osasuna, 0, 3, Barcelona, "Saturday, December 4, 2010", Reyno de Navarra (19,000)
Real Madrid, 2, 0, Valencia, "Saturday, December 4, 2010", Santiago BernabÃ©u (79,000)
Barcelona, 5, 0, Real Madrid, "Monday, November 29, 2010", Estadio Camp Nou (98,000)
Hercules, 3, 1, Levante, "Sunday, November 28, 2010", JosÃ© Rico PÃ©rez (18,000)
Mallorca, 2, 0, Malaga, "Sunday, November 28, 2010", Iberostar Estadi (13,000)
Racing Santander, 1, 0, Deportivo La CoruÃ±a, "Sunday, November 28, 2010", El Sardinero (15,000)
Sporting Gijon, 1, 3, Real Sociedad, "Sunday, November 28, 2010", El MolinÃ³n (20,000)
Athletic Bilbao, 1, 0, Osasuna, "Sunday, November 28, 2010", San MamÃ©s (37,000)
Valencia, 2, 1, Almeria, "Sunday, November 28, 2010", Mestalla (40,000)
Real Zaragoza, 0, 3, Villarreal, "Saturday, November 27, 2010", La Romareda (30,000)
Sevilla FC, 1, 3, Getafe, "Saturday, November 27, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (40,000)
Atletico Madrid, 2, 3, Espanyol, "Saturday, November 27, 2010", Vicente CalderÃ³n (53,000)
Getafe, 1, 1, Real Zaragoza, "Monday, November 22, 2010", Coliseum Alfonso PÃ©rez (6,000)
Deportivo La CoruÃ±a, 3, 0, Malaga, "Sunday, November 21, 2010", Municipal de Riazor (25,000)
Espanyol, 3, 0, Hercules, "Sunday, November 21, 2010", CornellÃ¡ - El Prat (30,000)
Levante, 3, 1, Racing Santander, "Sunday, November 21, 2010", Ciutat de Valencia (12,000)
Osasuna, 1, 0, Sporting Gijon, "Sunday, November 21, 2010", Reyno de Navarra (18,000)
Sevilla FC, 1, 2, Mallorca, "Sunday, November 21, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (40,000)
Real Sociedad, 2, 4, Atletico Madrid, "Sunday, November 21, 2010", Anoeta (28,000)
Villarreal, 1, 1, Valencia, "Saturday, November 20, 2010", El Madrigal (20,000)
Almeria, 0, 8, Barcelona, "Saturday, November 20, 2010", Juegos MediterrÃ¡neos (21,500)
Real Madrid, 5, 1, Athletic Bilbao, "Saturday, November 20, 2010", Santiago BernabÃ©u (75,000)
Hercules, 2, 1, Real Sociedad, "Sunday, November 14, 2010", JosÃ© Rico PÃ©rez (18,000)
Malaga, 1, 0, Levante, "Sunday, November 14, 2010", La Rosaleda (15,000)
Mallorca, 0, 0, Deportivo La CoruÃ±a, "Sunday, November 14, 2010", Iberostar Estadi (15,000)
Racing Santander, 0, 0, Espanyol, "Sunday, November 14, 2010", El Sardinero (16,000)
